ip_risk,device_unknown,time_dev,failed_attempts,malicious,velocity
31.554,false,41,2,false,86.254
52.346,false,12,1,false,51.921
50.733,false,30,1,false,19.978
76.809,true,72,2,true,12.723
93.835,false,17,1,true,26.747
12.724,true,73,1,false,91.255
26.213,false,54,3,true,69.813
15.276,true,49,2,true,79.569
77.343,false,26,2,true,96.074
25.075,true,63,1,true,70.594
48.9,false,72,1,false,61.536
25.632,true,3,1,false,69.083
91.988,false,4,2,false,82.464
18.656,true,63,2,false,99.363
21.171,false,61,2,true,32.541
63.001,true,35,3,false,24.687
40.166,true,89,1,true,13.234
67.882,false,26,2,true,4.591
21.82,false,46,1,true,81.699
1.419,true,54,2,false,45.161
2.683,true,48,2,true,83.731
13.057,true,27,1,false,73.135
61.679,false,87,2,true,76.057
73.348,false,14,1,true,86.406
55.458,true,74,3,true,89.902
44.749,true,6,2,true,22.84
92.545,false,14,2,true,23.702
30.973,false,68,2,true,49.675
65.334,false,15,2,false,53.911
94.003,true,97,2,true,79.006
4.403,true,42,1,true,77.437
27.397,false,97,2,false,27.423
29.993,true,23,1,true,29.277
90.792,false,36,1,false,55.325
41.895,true,43,3,true,34.597
45.099,false,6,2,true,8.258
45.641,false,61,3,true,78.936
78.578,false,31,2,true,60.665
74.351,false,77,2,false,36.854
58.963,false,71,3,false,4.983
15.94,true,20,3,true,17.643
72.39,false,25,3,true,74.683
94.83,true,53,1,false,17.901
8.633,false,54,3,true,80.792
97.817,true,18,1,false,96.851
60.923,true,98,2,false,15.876
12.505,true,84,3,true,94.444
16.863,false,16,1,false,20.144
70.628,true,76,2,false,78.534
7.775,false,81,1,true,32.832
51.965,false,51,1,false,75.327
67.935,true,38,3,true,97.298
74.252,true,9,3,true,46.688
17.576,false,14,3,false,5.908
3.574,true,61,3,false,68.977
89.81,true,23,1,false,7.485
32.039,false,83,1,false,86.292
60.682,true,43,2,true,90.61
58.221,false,3,2,true,10.089
15.264,true,55,3,true,37.847
98.566,false,47,1,false,49.197
22.019,false,32,2,false,72.228
62.12,true,8,1,true,51.934
80.6,true,14,2,true,85.183
56.932,true,17,1,true,19.724
14.105,true,66,1,true,67.817
14.054,false,22,3,false,61.081
89.439,false,52,1,false,94.936
29.187,false,85,3,false,31.664
47.396,true,97,3,true,61.631
36.696,true,62,1,true,61.806
95.513,true,70,2,false,44.425
34.731,false,39,1,true,53.841
5.382,false,69,2,true,79.966
42.842,false,44,2,true,96.816
37.241,true,55,3,true,66.441
90.343,true,63,3,true,66.907
91.313,false,4,1,true,48.961
91.848,false,97,2,true,10.9
39.276,false,58,1,false,98.468
9.812,true,13,3,true,46.845
37.016,false,96,2,true,35.816
91.44,true,21,1,true,56.406
10.059,true,70,3,false,25.56
85.188,false,65,2,true,74.733
47.844,false,60,1,true,5.182
12.976,false,29,1,false,79.622
65.643,false,77,1,true,45.036
24.262,false,48,3,false,58.729
45.083,true,83,2,false,26.062
8.955,true,27,1,false,15.244
68.201,true,25,3,false,72.159
41.437,false,46,1,true,17.132
80.335,true,57,2,true,75.78
32.019,true,14,3,true,89.073
26.688,true,19,2,true,23.556
73.343,false,28,3,true,8.278
86.561,true,99,2,true,49.627
71.716,false,80,2,true,96.653
98.283,false,48,3,true,88.5
97.247,true,33,2,true,42.678
71.627,true,27,3,true,69.539
37.407,true,1,1,true,55.909
60.674,false,77,2,true,14.02
38.529,false,67,3,true,15.431
38.975,false,39,3,false,74.878
32.72,false,99,3,false,38.34
19.818,true,68,1,true,31.199
52.384,false,65,3,true,16.118
27.517,true,45,1,true,5.714
75.829,false,15,3,false,57.109
95.153,true,46,3,false,11.156
11.852,false,36,3,true,78.721
34.588,false,24,1,false,35.254
73.691,false,47,3,true,55.237
32.001,false,96,1,true,34.168
5.984,false,75,1,true,38.585
85.994,false,77,2,false,84.983
45.886,false,97,1,false,2.203
53.573,true,41,3,false,16.711
72.04,false,28,3,false,12.509
16.291,false,49,1,false,94.791
83.631,true,52,2,false,17.99
42.85,false,70,2,false,37.983
75.464,false,59,2,true,94.44
62.626,false,29,1,false,32.911
62.335,false,40,1,false,69.165
85.931,true,55,3,false,19.741
45.743,true,91,1,false,52.016
9.233,false,4,3,true,91.087
53.611,true,76,1,true,25.433
75.13,true,81,3,false,57.747
94.808,true,65,3,true,63.037
88.469,true,93,3,true,65.487
38.363,false,4,2,true,68.472
12.731,false,24,2,true,73.927
37.528,false,78,3,true,7.766
38.988,false,75,3,false,4.354
66.143,false,95,1,true,62.592
97.921,true,80,1,false,94.035
96.605,false,47,2,false,9.776
91.621,true,19,3,false,38.481
94.09,false,59,2,false,1.331
88.746,false,7,2,false,44.892
51.599,false,48,2,true,57.822
38.47,true,21,1,false,94.63
88.025,false,42,2,true,59.218
68.829,true,42,2,false,2.903
33.682,true,36,1,false,44.765
60.142,true,35,3,false,95.266
56.301,true,88,2,false,47.484
33.269,false,82,2,true,6.121
6.335,false,25,2,true,6.181
19.441,false,28,3,false,95.735
78.518,false,44,1,true,70.618
11.633,false,48,2,false,97.775
67.512,false,44,3,true,79.394
20.367,true,31,2,true,27.313
64.537,false,32,3,false,11.715
53.185,true,73,2,false,77.568
85.665,false,32,2,true,39.257
57.592,true,86,1,true,32.047
23.27,true,29,1,false,61.064
88.4,true,50,2,true,86.51
4.932,true,71,1,true,97.226
37.057,true,39,1,true,92.102
48.537,false,85,3,true,71.815
10.25,false,81,2,true,1.033
77.023,false,84,1,true,45.27
9.289,false,18,2,false,62.62
71.207,false,24,3,true,88.397
94.261,false,7,1,false,6.175
45.494,false,1,1,true,1.066
37.584,false,55,2,false,31.193
65.669,false,90,1,true,59.047
3.082,false,49,3,true,98.951
5.987,true,50,2,true,25.427
58.872,false,11,2,false,45.039
7.226,false,98,3,true,83.291
23.08,false,40,3,false,24.783
90.168,false,62,3,true,49.306
10.904,true,54,3,false,92.78
31.284,false,86,2,false,65.287
37.172,true,60,2,true,85.821
5.091,false,95,2,false,46.318
9.583,true,69,3,false,87.718
9.389,true,76,2,true,80.185
38.491,true,38,1,true,90.367
2.255,false,1,2,true,31.022
98.567,false,60,2,true,77.952
23.68,true,19,2,true,69.8
42.914,false,73,3,true,24.221
10.437,false,18,2,true,12.256
76.705,false,91,1,false,32.786
87.214,false,71,2,false,10.524
4.472,false,17,2,false,62.285
53.301,true,2,1,false,95.098
15.584,false,22,3,false,33.564
73.19,false,90,2,false,53.113
88.014,false,38,1,true,86.249
13.317,false,29,1,false,23.798
71.752,false,29,1,true,53.465
26.354,false,48,1,true,74.527
49.774,true,87,3,false,84.496
4.585,false,84,3,true,99.783
57.197,true,26,3,true,73.368
70.732,true,44,1,false,11.279
82.017,false,10,2,false,80.681
98.744,true,44,3,false,69.89
8.361,true,64,3,true,1.735
86.281,false,86,3,true,17.181
44.566,false,8,2,false,17.33
22.394,false,100,2,true,25.733
93.971,false,87,1,false,5.964
32.196,true,71,2,true,11.344
11.114,true,84,2,false,73.373
95.637,false,95,3,false,93.532
48.216,true,33,1,true,47.319
81.987,true,11,1,true,27.659
72.501,false,83,1,false,38.182
14.12,true,99,3,true,75.314
25.079,true,10,1,false,87.322
18.964,false,14,3,false,34.569
10.113,false,15,1,true,67.78
60.856,true,49,1,false,49.949
51.276,true,83,3,true,84.929
51.338,false,10,2,false,15.032
30.279,true,9,1,false,43.611
18.755,true,13,2,true,61.154
67.462,false,51,2,false,22.223
27.904,true,3,3,false,66.615
3.196,true,93,2,true,49.129
19.75,false,48,3,false,9.596
92.744,false,45,3,true,49.065
43.046,false,11,3,true,20.478
83.991,true,53,3,true,32.987
96.848,false,67,1,true,38.761
93.824,false,68,3,true,75.948
97.898,false,92,1,true,24.646
52.136,false,49,3,true,60.88
28.142,true,46,1,true,95.573
82.583,false,2,2,false,83.273
84.85,true,89,2,true,50.913
46.155,false,18,3,true,95.146
97.828,true,46,2,false,10.608
14.739,false,33,2,true,31.356
91.936,false,98,2,false,74.703
48.694,true,86,3,false,89.797
38.245,true,5,3,false,53.361
73.384,false,12,3,true,14.811
41.848,false,47,1,true,48.81
74.548,false,21,2,true,47.891
67.445,false,52,2,true,30.074
97.405,true,24,3,false,56.801
2.456,false,100,1,true,37.413
27.619,true,7,3,false,87.021
62.137,false,51,2,false,56.701
28.987,false,94,1,false,45.916
64.47,true,19,3,true,11.438
94.5,true,82,3,true,12.735
18.541,false,48,3,false,7.391
99.654,false,36,1,true,1.101
32.348,true,35,3,false,7.899
96.908,true,34,3,false,56.709
93.616,false,58,1,false,96.543
84.054,true,36,2,false,2.855
54.53,true,56,2,false,69.351
65.575,false,44,3,true,45.729
58.71,false,17,3,true,17.33
39.68,false,29,3,true,62.974
55.177,false,11,3,true,18.045
17.407,true,49,1,false,24.863
63.597,false,36,1,false,69.179
91.078,false,93,2,false,69.484
18.35,true,6,2,true,47.339
4.85,false,99,1,true,74.0
80.963,false,57,3,false,60.135
32.758,false,20,2,false,39.035
83.984,true,40,1,false,22.796
66.057,false,22,2,false,68.939
85.231,true,77,3,false,53.405
66.764,false,54,2,false,18.368
63.552,true,3,3,true,34.825
50.595,true,73,3,true,42.253
7.117,false,78,2,true,1.821
27.036,true,10,2,false,68.94
47.145,false,59,1,false,51.355
59.869,false,87,3,false,14.264
95.721,true,88,3,false,16.178
3.879,false,23,3,false,99.523
79.957,true,37,3,false,19.721
19.291,true,9,3,true,26.131
40.466,false,5,1,false,91.282
68.35,true,2,1,false,90.687
6.997,true,49,3,false,21.64
90.381,true,40,3,true,51.633
30.589,true,74,3,false,78.645
76.722,false,74,3,true,69.887
21.468,false,36,2,true,1.205
18.245,true,85,2,true,91.194
77.435,true,38,3,false,4.747
94.152,true,36,1,true,88.32
77.519,false,52,3,true,84.123
63.062,false,49,2,true,10.012
67.85,false,3,1,true,93.305
27.932,true,70,3,true,27.872
19.168,true,98,1,false,30.314
8.288,true,21,2,false,59.729
75.662,true,42,1,false,72.074
12.675,true,56,3,false,13.121
